Go.	Geh.
You're a scoundrel.	Du bist ein Halunke.
You're a sharp one.	Na, du bist ja ein Schlaumeier.
You're a smart boy.	Du bist ein kluger Junge.
You're a woman now.	Du bist jetzt eine Frau.
You're all cowards.	Ihr seid alle Feiglinge.
You're all racists.	Ihr seid alle Rassisten.
You're always busy.	Du bist immer beschäftigt.
You're always busy.	Ihr seid immer beschäftigt.
You're always busy.	Sie sind immer beschäftigt.
You're an optimist.	Du bist ein Optimist.
You're an optimist.	Sie sind ein Optimist.
You're annoying me.	Du nervst mich.
You're avoiding me.	Du meidest mich.
You're avoiding me.	Sie meiden mich.
You're avoiding me.	Ihr meidet mich.
You're being naive.	Du bist naiv.
You're both insane.	Ihr seid beide verrückt.
You're charismatic.	Du bist charismatisch.
You're charismatic.	Sie sind charismatisch.
You're charismatic.	Ihr seid charismatisch.
You're cooperating.	Ihr arbeitet mit.
You're cooperating.	Sie arbeiten mit.
You're cooperating.	Du arbeitest mit.
You're cooperating.	Du wirkst mit.
You're cooperating.	Ihr wirkt mit.
You're cooperating.	Sie wirken mit.
You're cooperating.	Du kooperierst.
You're cooperating.	Sie kooperieren.
You're cooperating.	Ihr kooperiert.
You're doing great.	Du machst das großartig.
You're early again.	Du kommst schon wieder zu früh.
You're extroverted.	Du bist extrovertiert.
You're extroverted.	Sie sind extrovertiert.
You're extroverted.	Ihr seid extrovertiert.
You're fascinating.	Sie sind bezaubernd.
You're fascinating.	Du bist faszinierend.
You're fashionable.	Du bist modebewusst.
You're fashionable.	Sie sind modebewusst.
You're fashionable.	Ihr seid modebewusst.
You're hardworking.	Du bist fleißig.
You're hardworking.	Sie sind fleißig.
You're hardworking.	Ihr seid fleißig.
You're incompetent.	Sie sind inkompetent.
You're incompetent.	Du bist inkompetent.
You're incompetent.	Ihr seid inkompetent.
You're interesting.	Du bist interessant.
You're interesting.	Ihr seid interessant.
You're interesting.	Sie sind interessant.
You're introverted.	Du bist introvertiert.
You're introverted.	Sie sind introvertiert.
You're introverted.	Ihr seid introvertiert.
You're just a girl.	Du bist ja nur ein Mädchen.
You're like family.	Du bist wie Familie.
You're lying again.	Du lügst schon wieder.
You're lying to me.	Du lügst mich an.
You're lying to me.	Du belügst mich.
You're lying to me.	Du lügst mich doch an!
You're my neighbor.	Sie sind mein Nachbar.
You're my neighbor.	Du bist mein Nachbar.
You're my neighbor.	Du bist meine Nachbarin.
You're my neighbor.	Sie sind meine Nachbarin.
You're my princess.	Du bist meine Prinzessin.
You're not a loser.	Du bist kein Verlierer.
You're not dressed.	Du bist nicht angezogen.
You're not dressed.	Sie sind nicht bekleidet.
You're not dressed.	Ihr seid nicht angezogen.
You're not helping.	Sie helfen nicht.
You're not helping.	Du hilfst nicht.
You're not helping.	Ihr helft nicht.
You're not invited.	Du bist nicht eingeladen.
You're not invited.	Sie sind nicht eingeladen.
You're not like me.	Du bist nicht wie ich.
You're not looking.	Du siehst ja gar nicht hin.
You're not my type.	Du bist nicht mein Fall.
You're not my type.	Du bist nicht mein Typ.
You're not my wife.	Du bist nicht meine Frau.
You're not special.	Du bist nichts Besonderes.
You're not special.	Sie sind nichts Besonderes.
You're on the list.	Du stehst auf der Liste.
You're on your own.	Du bist auf dich allein gestellt.
You're on your own.	Sie sind auf sich allein gestellt.
You're persevering.	Du bist beharrlich.
You're persevering.	Sie sind beharrlich.
You're persevering.	Ihr seid beharrlich.
You're predictable.	Du bist durchschaubar.
You're pretty good.	Sie sind ziemlich gut.
You're quite drunk.	Du bist ziemlich blau.
You're quite drunk.	Ihr seid ziemlich besoffen.
You're quite drunk.	Sie sind ziemlich betrunken.
You're quite right.	Du hast völlig recht.
You're quite smart.	Du bist sehr geschickt.
You're quite smart.	Du bist sehr pfiffig.
You're quite smart.	Du bist sehr klug.
You're really cute.	Du bist ziemlich süß.
You're really fast.	Du bist echt schnell.
You're really good.	Du bist sehr gut.
You're really nice.	Du bist sehr nett.
You're replaceable.	Du bist ersetzbar.
You're replaceable.	Ihr seid ersetzbar.
You're replaceable.	Sie sind ersetzbar.
You're right again.	Du hast wieder mal recht.
You're right, dear.	Du hast recht, mein Schatz.
You're so generous.	Du bist so großzügig.
You're so pathetic.	Du bist so erbärmlich!
You're so romantic.	Du bist so romantisch!
You're so stubborn.	Du bist so was von stur.
You're soaking wet.	Du bist klatschnass.
You're soaking wet.	Sie sind klatschnass.
You're soaking wet.	Ihr seid klatschnass.
You're still green.	Du bist noch grün hinter den Ohren.
You're still young.	Du bist noch jung.
You're still young.	Sie sind noch jung.
You're such a liar.	Du bist solch ein Lügner!
You're such a liar.	Du bist solch eine Lügnerin!
You're taking over.	Du übernimmst jetzt.
You're the biggest.	Du bist der Größte.
You're the dreamer.	Du bist der Träumer.
You're the dreamer.	Sie sind der Träumer.
You're the experts.	Ihr seid vom Fach.
You're the teacher.	Du bist der Lehrer.
You're the teacher.	Du bist die Lehrerin.
You're too nervous.	Sie sind zu nervös.
You're turning red.	Du wirst rot.
You're turning red.	Sie werden rot.
You're turning red.	Ihr werdet rot.
You're unambitious.	Du hast keinen Ehrgeiz.
You're unambitious.	Sie haben keinen Ehrgeiz.
You're unambitious.	Ihr habt keinen Ehrgeiz.
You're unnecessary.	Du bist entbehrlich.
You're very boring.	Du bist sehr langweilig.
You're very clever.	Du bist sehr klug.
You're very clever.	Du bist sehr schlau.
You're very humble.	Du bist sehr bescheiden.
You're very humble.	Ihr seid sehr bescheiden.
You're very humble.	Sie sind sehr bescheiden.
You're very lonely.	Du bist sehr einsam.
You're very modest.	Du bist sehr bescheiden.
You're very pretty.	Du bist sehr schön.
You're with me, OK?	Du kommst mit mir. Einverstanden?
You've already won.	Du hast schon gewonnen.
You've been warned.	Du bist gewarnt worden.
You've been warned.	Sie sind gewarnt worden.
You've been warned.	Ihr seid gewarnt worden.
You've been warned.	Man hat Euch gewarnt.
You've been warned.	Man hat Sie gewarnt.
You've been warned.	Man hat dich gewarnt.
You've betrayed me.	Du hast mich betrogen.
You've got a fever.	Du hast Fieber.
You've got an hour.	Du hast eine Stunde Zeit.
You've got an hour.	Du hast eine Stunde.
You've got my keys.	Du hast meine Schlüssel.
You've got my keys.	Sie haben meine Schlüssel.
You've got my vote.	Meine Stimme hast du.
You've got my vote.	Du hast meine Stimme.
You've got to hide.	Du musst dich verstecken.
You've got to rest.	Du musst dich ausruhen.
You've got to rest.	Sie müssen sich ausruhen.
You've got to rest.	Ihr müsst euch ausruhen.
You've got to rest.	Du musst dich erholen.
You've lost weight.	Sie haben abgenommen.
You've made my day.	Du hast meinen Tag gerettet.
Your bath is ready.	Dein Bad ist fertig.
Your bath is ready.	Euer Bad ist fertig.
Your bath is ready.	Ihr Bad steht bereit.
Your breath smells.	Du hast Mundgeruch.
Your breath stinks.	Du hast Mundgeruch.
Your breath stinks.	Dein Atem stinkt.
Your kids are cute.	Deine Kinder sind süß.
Your kids are cute.	Eure Kinder sind süß.
Your lips are blue.	Du hast blaue Lippen.
Your phone was off.	Dein Telefon war ausgeschaltet.
Your place or mine?	Zu dir oder zu mir?
Your room is dirty.	Dein Zimmer ist schmutzig.
Your secret's safe.	Dein Geheimnis ist sicher.
Your secret's safe.	Ihr Geheimnis ist sicher.
Your secret's safe.	Euer Geheimnis ist sicher.
Trust me, he said.	Vertraue mir, sagte er.
"Who cares? ""I do."""	„Wen kümmert’s?“ – „Mich.“
A cold wind blew in.	Ein kalter Wind wehte herein.
A crocodile ate Tom.	Ein Krokodil hat Tom gefressen.
A dog has four legs.	Ein Hund hat vier Beine.
A golf ball hit Tom.	Ein Golfball hat Tom getroffen.
A lion is an animal.	Der Löwe ist ein Tier.
A lion is an animal.	Ein Löwe ist ein Tier.
A nap would be good.	Ein Schläfchen wäre gut.
A noise woke her up.	Ein Geräusch weckte sie auf.
A nurse wears white.	Eine Krankenschwester trägt Weiß.
A storm is imminent.	Ein Sturm zieht auf.
A storm is imminent.	Ein Sturm zieht heran.
A storm was brewing.	Eine Gewitter braute sich zusammen.
A truck hit the dog.	Ein Lkw fuhr den Hund an.
A whale is a mammal.	Wale sind Säugetiere.
A window was broken.	Ein Fenster ging zu Bruch.
A wolf attacked Tom.	Ein Wolf griff Tom an.
Add a pinch of salt.	Eine Prise Salz hinzufügen.
Advice is like salt.	Ratschläge sind wie Salz.
All I have is books.	Alles was ich habe, sind Bücher.
All I want is money.	Ich will nur Geld.
All I want is money.	Ich will bloß Geld.
All I want is money.	Alles, was ich will, ist Geld.
All Tom does is eat.	Tom beschäftigt sich nur mit Essen.
All is calm tonight.	Alles ist ruhig, diese Nacht.
All is well with me.	Mir geht es rundum gut.
All is well with me.	Es geht mir gut.
All of us are happy.	Wir sind alle zufrieden.
All of us are happy.	Wir sind alle glücklich.
All of us should go.	Wir sollten alle hingehen.
All sales are final.	Der Umtausch ist ausgeschlossen.
Allow me to explain.	Lass mich erklären.
Allow me to explain.	Lassen Sie mich erklären.
Aluminum is a metal.	Aluminium ist ein Metall.
Am I going to be OK?	Werde ich okay sein?
Am I going too fast?	Gehe ich zu schnell?
Am I imagining this?	Bilde ich mir das etwa ein?
Am I older than you?	Bin ich älter als du?
Am I older than you?	Bin ich älter als Sie?
Am I older than you?	Bin ich älter als ihr?
America is very big.	Amerika ist sehr groß.
Answer me right now.	Antworte mir jetzt!
Answer me right now.	Antwortet mir jetzt!
Answer me right now.	Antworten Sie mir jetzt!
Answer my questions.	Beantworte meine Fragen.
Answer the question.	Beantworte die Frage.
Answer the question.	Antworten Sie auf die Frage.
Answer the question.	Antworte auf die Frage.
Anybody can do that.	Jeder kann es machen.
Anybody can do that.	Jeder ist in der Lage, dies zu tun.
Anybody can do that.	Das kann jeder.
Anybody can do that.	Jeder kann das machen.
Anybody can do this.	Das kann jeder.
Anybody want a beer?	Will jemand ein Bier?
Anybody want a lift?	Möchte jemand mitfahren?
Anyone can see that.	Das kann jeder sehen.
Anyone can see that.	Jeder kann das sehen.
Anything's possible.	Alles ist möglich.
Are all swans white?	Sind alle Schwäne weiß?
Are seats available?	Sind Plätze zu haben?
Are the rumors true?	Stimmen die Gerüchte?
Are there survivors?	Gibt es Überlebende?
Are these all Tom's?	Gehören die alle Tom?
Are these all yours?	Gehören die alle dir?
Are they still here?	Sind sie noch hier?
Are those new shoes?	Sind das neue Schuhe?
Are those your bags?	Sind das deine Taschen?
Are those your bags?	Sind das Ihre Taschen?
Are those your bags?	Sind das eure Taschen?
Are those your kids?	Sind das deine Kinder?
Are we being chased?	Werden wir verfolgt?
Are we going to win?	Werden wir gewinnen?
Are we just friends?	Sind wir nur Freunde?
Are we leaving soon?	Brechen wir bald auf?
Are we ready for it?	Sind wir bereit dafür?
Are we safe in here?	Sind wir hier drinnen sicher?
Are you Tom Jackson?	Sind Sie Tom Hansen?
Are you a Christian?	Bist du Christ?
Are you a Christian?	Bist du Christin?
Are you a Christian?	Sind Sie Christ?
Are you a Christian?	Sind Sie Christin?
Are you a foreigner?	Bist du Ausländer?
Are you a foreigner?	Bist du Ausländerin?
Are you a foreigner?	Sind Sie Ausländer?
Are you a foreigner?	Sind Sie Ausländerin?
Are you a good cook?	Kannst du gut kochen?
Are you a policeman?	Sind Sie Polizist?
Are you about ready?	Bist du allmählich fertig?
Are you about ready?	Sind Sie allmählich fertig?
Are you about ready?	Seid ihr allmählich fertig?
Are you almost done?	Bist du fast fertig?
Are you almost done?	Sind Sie fast fertig?
Are you almost here?	Bist du gleich hier?
Are you always busy?	Bist du immer so beschäftigt?
Are you angry at me?	Bist du mir böse?
Are you angry at me?	Seid ihr mir böse?
Are you angry at me?	Sind Sie mir böse?
Are you at home now?	Bist du jetzt zuhause?
Are you avoiding me?	Gehst du mir aus dem Weg?
Are you avoiding me?	Geht ihr mir aus dem Weg?
Are you avoiding me?	Gehen Sie mir aus dem Weg?
Are you comfortable?	Hast du es bequem?
Are you comfortable?	Haben Sie es bequem?
Are you comfortable?	Habt ihr es bequem?
Are you coming down?	Kommst du herunter?
Are you coming, Tom?	Kommst du, Tom?
Are you coming, too?	Kommen Sie auch?
Are you coming, too?	Kommst du auch?
Are you enjoying it?	Gefällt euch das?
Are you enjoying it?	Gefällt Ihnen das?
Are you even trying?	Versuchst du’s überhaupt?
Are you experienced?	Hast du Erfahrung?
Are you from Boston?	Bist du aus Boston?
Are you going to go?	Wirst du gehen?
Are you guys crying?	Leute, weint ihr etwa?
Are you guys hungry?	Habt ihr Hunger?
Are you guys hungry?	Seid ihr hungrig?
Are you ignoring me?	Ignorierst du mich?
Are you imaginative?	Bist du fantasievoll?
Are you imaginative?	Hast du Phantasie?
Are you imaginative?	Habt ihr Phantasie?
Are you imaginative?	Haben Sie Phantasie?
Are you in any pain?	Tut dir etwas weh?
Are you in pain now?	Haben Sie jetzt Schmerzen?
Are you independent?	Bist du unabhängig?
Are you lying to me?	Lügst du mich an?
Are you married now?	Sind Sie jetzt verheiratet?
Are you married now?	Bist du jetzt verheiratet?
Are you off tonight?	Gehst du heute Abend fort?
Are you on Facebook?	Sind Sie auf Facebook?
Are you on Facebook?	Seid ihr auf Facebook?
Are you on Facebook?	Bist du auf Facebook?
Are you on Facebook?	Bist du bei Facebook?
Are you on Facebook?	Sind Sie bei Facebook?
Are you on Facebook?	Seid ihr bei Facebook?
Are you on Facebook?	Hast du Facebook?
Are you out of work?	Sind Sie ohne Arbeit?
Are you out of work?	Sind Sie arbeitslos?
Are you out of work?	Haben Sie keine Arbeit?
Are you really busy?	Bist du wirklich beschäftigt?
Are you really done?	Sind Sie wirklich fertig?
Are you really sick?	Bist du wirklich krank?
Are you really sick?	Sind Sie wirklich krank?
Are you really sure?	Bist du dir wirklich sicher?
Are you still alive?	Lebst du noch?
Are you still angry?	Bist du immer noch böse?
Are you still awake?	Bist du noch wach?
Are you still bored?	Langweilst du dich immer noch?
Are you still happy?	Bist du noch glücklich?
Are you still there?	Bist du noch da?
Are you still there?	Sind Sie noch da?
Are you still there?	Seid ihr noch da?
Are you still tired?	Bist du noch müde?
Are you still upset?	Bist du noch immer verärgert?
Are you still upset?	Bist du noch aufgebracht?
Are you texting Tom?	Schreibst du Tom?
Are you that stupid?	Bist du so doof?
Are you that stupid?	Bist du so dumm?
Are you thirsty now?	Hast du jetzt Durst?
Are you two friends?	Seid ihr zwei befreundet?
Are you up for that?	Bist du dafür bereit?
Are you very hungry?	Bist du sehr hungrig?
Are you warm enough?	Ist dir warm genug?
Are you watching it?	Schaust du es dir an?
Are you watching me?	Spionierst du mir nach?
Are you watching me?	Überwachst du mich?
Are you working now?	Arbeitest du jetzt gerade?
Aren't you Canadian?	Seid ihr nicht Kanadier?
Aren't you Canadian?	Bist du nicht Kanadier?
Aren't you Catholic?	Sind Sie nicht katholisch?
Aren't you a doctor?	Bist du nicht Arzt?
Aren't you a doctor?	Bist du nicht Ärztin?
Aren't you a lawyer?	Sind Sie nicht Rechtsanwalt?
Aren't you a priest?	Sind Sie nicht Priester?
Aren't you a singer?	Bist du nicht Sänger?
Aren't you a singer?	Bist du nicht Sängerin?
Aren't you brothers?	Seid ihr nicht Brüder?
Aren't you going in?	Gehst du nicht hinein?
Aren't you homesick?	Hast du kein Heimweh?
Aren't you new here?	Bist du nicht neu hier?
Aren't you new here?	Seid ihr nicht neu hier?
Aren't you prepared?	Bist du nicht vorbereitet?
Aren't you students?	Seid ihr nicht Schüler?
Aren't you the boss?	Bist du nicht der Chef?
Aren't you underage?	Bist du nicht noch minderjährig?
Ask Tom how Mary is.	Frag Tom, wie Maria ist.
Ask Tom to help you.	Bitte Tom darum, dass er dir hilft!
Ask Tom where he is.	Frag Tom, wo er ist.
At least we had fun.	Wenigstens hat es uns Spaß gemacht.
Baby ducks are cute.	Entenküken sind süß.
Baby lions are cute.	Löwenjunge sind süß.
Bad habits die hard.	Schlechte Angewohnheiten sind nur schwer abzulegen.
Bad habits die hard.	Schlechte Angewohnheiten sind Überlebenskünstler.
Be careful in there.	Sei vorsichtig da drinnen!
Be careful up there.	Sei vorsichtig da oben!
Be careful up there.	Seien Sie vorsichtig da oben!
Be gentle, but firm.	Sei sanft, aber bestimmt.
Be nice to your mom.	Sei lieb zu deiner Mama!
Be patient with Tom.	Sei geduldig gegen Tom!
Be polite, but firm.	Sei höflich, doch bestimmt.
Be polite, but firm.	Seid höflich, doch bestimmt.
Be polite, but firm.	Seien Sie höflich, doch bestimmt.
Be quiet and listen.	Seien Sie still und hören Sie zu.
Be quiet and listen.	Seid still und hört zu.
Believe in yourself.	Glaub an dich.
Big girls don't cry.	Große Mädchen weinen nicht.
Black is depressing.	Schwarz macht schwermütig.
Black is depressing.	Schwarz ist bedrückend.
Blow out the candle.	Pusten Sie die Kerze aus!
Blow out the candle.	Puste die Kerze aus!
Boil those potatoes.	Koche die Kartoffeln!
Boil those potatoes.	Koche die Kartoffeln dort!
Boston is overrated.	Boston wird überbewertet.
Both Tom and I work.	Tom und ich, wir arbeiten beide.
Breakfast is served.	Das Frühstück ist serviert.
Bring it back to me.	Bring es mir zurück!
Bring it back to me.	Bringen Sie es mir zurück!
Bring me my clothes.	Bring mir meine Kleidung.
Bring me my glasses.	Bring mir meine Brille.
Bring me my glasses.	Bringt mir meine Brille.
Bring your computer.	Bring deinen Rechner mit.
Bring your swimsuit.	Bring einen Badeanzug mit.
Burn all this stuff.	Verbrenn das ganze Zeug!
But I don't want to.	Aber ich will nicht!
But I wasn't afraid.	Aber ich hatte keine Angst.
Can I call you back?	Kann ich dich zurückrufen?
Can I call you back?	Kann ich Sie zurückrufen?
Can I check in here?	Kann ich mich hier anmelden?
Can I come with you?	Kann ich mich euch anschließen?
Can I come with you?	Kann ich mich dir anschließen?
Can I come with you?	Kann ich mich Ihnen anschließen?
Can I do that again?	Kann ich das noch mal machen?
Can I do that later?	Kann ich das später erledigen?
Can I do this later?	Kann ich das später erledigen?
Can I drive, please?	Kann ich fahren, bitte?
Can I eat this cake?	Kann ich den Kuchen essen?
Can I get a blanket?	Kann ich eine Decke bekommen?
Can I go to bed now?	Darf ich jetzt ins Bett?
Can I have a cookie?	Kann ich einen Keks haben?
Can I have a cookie?	Kann ich ein Plätzchen haben?
Can I have a moment?	Hast du kurz Zeit?
Can I have a moment?	Haben sie kurz Zeit?
Can I have a pillow?	Bekomme ich bitte ein Kissen?
Can I say something?	Darf ich etwas sagen?
Can I say something?	Kann ich etwas sagen?
Can I see Tom today?	Kann ich Tom heute sehen?
Can I see you again?	Kann ich dich nochmal sehen?
Can I still make it?	Schaffe ich es noch?
Can I talk with you?	Kann ich dich sprechen?
Can I talk with you?	Kann ich Sie sprechen?
Can I use this bike?	Kann ich das Fahrrad benutzen?
Can I wash my hands?	Kann ich mir die Hände waschen?
Can anybody hear me?	Kann mich jemand hören?
Can anybody help me?	Kann mir jemand helfen?
Can he speak French?	Kann er Französisch sprechen?
Can he speak French?	Spricht er Französisch?
Can someone help me?	Kann mir jemand helfen?
Can we believe that?	Können wir das glauben?
Can we believe them?	Können wir ihnen glauben?
Can we count on you?	Können wir auf dich zählen?
Can we count on you?	Können wir auf euch zählen?
Can we count on you?	Können wir auf Sie zählen?
Can we do that here?	Können wir das hier machen?
Can we just go home?	Können wir einfach nach Hause gehen?
Can we speak French?	Können wir Französisch sprechen?
Can we take a break?	Können wir eine Pause machen?
Can you afford that?	Kannst du dir das leisten?
Can you bake a cake?	Kannst du einen Kuchen backen?
Can you contact Tom?	Kannst du Tom kontaktieren?
Can you contact Tom?	Könnt ihr mit Tom Kontakt aufnehmen?
Can you contact Tom?	Können Sie sich mit Tom in Verbindung setzen?
Can you cook a meal?	Können Sie kochen?
Can you cook a meal?	Kannst du kochen?
Can you do anything?	Kannst du irgend etwas tun?
Can you drive a car?	Kannst du Auto fahren?
Can you drive a car?	Kannst du ein Auto fahren?
Can you explain why?	Kannst du erklären warum?
Can you make copies?	Kannst du Kopien machen?
Can you pick up Tom?	Kannst du Tom abholen?
Can you pick up Tom?	Könnt ihr Tom abholen?
Can you pick up Tom?	Können Sie Tom abholen?
Can you play guitar?	Kannst du Gitarre spielen?
Can you play guitar?	Könnt ihr Gitarre spielen?
Can you play tennis?	Kannst du Tennis spielen?
Can you please help?	Kannst du bitte helfen?
Can you read Arabic?	Kannst du Arabisch lesen?
Can you read French?	Kannst du Französisch lesen?
Can you really swim?	Kannst du wirklich schwimmen?
Can you repeat that?	Können Sie das wiederholen?
Can you rub my back?	Kannst du mir den Rücken scheuern?
Can you see the cat?	Kannst du die Katze sehen?
Can you start today?	Kannst du heute anfangen?
Can you still drive?	Können Sie noch fahren?
Can you still drive?	Kannst du noch fahren?
Can you swim at all?	Kannst du überhaupt schwimmen?
Can you swim at all?	Könnt ihr überhaupt schwimmen?
Can you swim at all?	Können Sie überhaupt schwimmen?
Can you tell me how?	Kannst du mir verraten, wie?
Can your wife drive?	Kann deine Frau Auto fahren?
Can your wife drive?	Kann Ihre Frau Auto fahren?
Can't you buy a car?	Kannst du dir kein Auto kaufen?
Carry out my orders!	Führe meine Befehle aus!
Carry out my orders!	Führt meine Befehle aus!
Carry out my orders!	Führen Sie meine Befehle aus!
Cash or credit card?	Bar oder mit Karte?
Catch me if you can.	Fang mich, wenn du kannst.
Change is important.	Veränderung ist wichtig.
Change your clothes.	Zieh dich um.
Cherish this moment.	Genieße diesen Moment!
Chew your food well.	Kau dein Essen gründlich.
Chew your food well.	Kauen Sie Ihr Essen gründlich.
Chew your food well.	Kaut euer Essen gründlich.
Chew your food well.	Gut kauen!
Chivalry isn't dead.	Die Ritterlichkeit ist nicht gestorben.
Christmas is coming.	Bald ist Weihnachten.
Clear off the table.	Räum den Tisch ab.
Clear off the table.	Räumt den Tisch ab.
Clear off the table.	Räumen Sie den Tisch ab.
Clocks measure time.	Uhren messen Zeit.
Come again any time.	Komm jederzeit wieder.
Come again any time.	Kommen Sie jederzeit wieder.
Come again tomorrow.	Kommen Sie morgen wieder.
Come again tomorrow.	Kommt morgen wieder.
Come at two o'clock.	Komm um zwei Uhr!
Come back in a week.	Komm in einer Woche noch mal wieder!
Come early tomorrow.	Komm morgen früh vorbei.
Come sit next to me.	Komm, setz dich neben mich!
Competition is good.	Wettbewerb ist gut.
Contact me tomorrow.	Kontaktiere mich morgen.
Could it be a virus?	Könnte es sich um ein Virus handeln?
Could we meet today?	Könnten wir uns heute treffen?
Could you elaborate?	Könnten Sie das näher ausführen?
Could you sign here?	Können Sie hier unterschreiben?
Could you sign this?	Kannst du das hier unterschreiben?
Could you sign this?	Können Sie das hier unterschreiben?
Cucumbers are green.	Gurken sind grün.
Cyprus is an island.	Zypern ist eine Insel.
Dad bought a camera.	Papa hat einen Fotoapparat gekauft.
Death is inevitable.	Der Tod ist unvermeidlich.
Death is inevitable.	Der Tod ist unausweichlich.
Delete that picture.	Lösche das Bild.
Delete that picture.	Löscht das Bild.
Delete that picture.	Löschen Sie das Bild.
Demand is very high.	Der Bedarf ist sehr hoch.
Destroy this temple.	Zerstört diesen Tempel.
Destroy this temple.	Zerstöre diesen Tempel.
Did I embarrass you?	Habe ich dich in Verlegenheit gebracht?
Did I embarrass you?	Habe ich Sie in Verlegenheit gebracht?
Did I lock the door?	Habe ich die Tür abgeschlossen?
Did I mess up again?	Habe ich wieder Mist gebaut?
Did I miss anything?	Habe ich etwas verpasst?
Did I pass the test?	Habe ich den Test bestanden?
Did I pass the test?	Habe ich die Prüfung bestanden?
Did I pass the test?	Habe ich bestanden?
Did I touch a nerve?	Habe ich eine empfindliche Stelle getroffen?
Did I touch a nerve?	Habe ich einen empfindlichen Nerv getroffen?
Did I touch a nerve?	Habe ich da eine empfindliche Stelle getroffen?
Did I touch a nerve?	Habe ich da einen Nerv getroffen?
Did Tom ask you out?	Wollte Tom mit dir ausgehen?
Did Tom believe you?	Hat Tom dir geglaubt?
Did Tom believe you?	Hat Tom euch geglaubt?
Did Tom believe you?	Hat Tom Ihnen geglaubt?
Did Tom contact you?	Hat Tom sich mit dir in Verbindung gesetzt?
Did Tom contact you?	Hat Tom sich mit euch in Verbindung gesetzt?
Did Tom contact you?	Hat Tom sich mit Ihnen in Verbindung gesetzt?
Did Tom contact you?	Hat Tom dich kontaktiert?
Did Tom contact you?	Hat Tom euch kontaktiert?
Did Tom contact you?	Hat Tom Sie kontaktiert?
Did Tom do anything?	Hat Tom irgendwas getan?
Did Tom forgive you?	Hat dir Tom verziehen?
Did Tom forgive you?	Hat euch Tom verziehen?
Did Tom forgive you?	Hat Tom Ihnen verziehen?
Did Tom have a plan?	Hatte Tom einen Plan?
Did Tom have dinner?	Hat Tom etwas zu Abend gegessen?
Did Tom hurt anyone?	Hat Tom jemandem wehgetan?
Did Tom leave early?	Ist Tom früher gegangen?
Did Tom lie to Mary?	Hat Tom Maria angelogen?
Did Tom like Boston?	Hat es Tom in Boston gefallen?
Did Tom purchase it?	Hat Tom das erworben?
Did Tom talk to you?	Hat Tom mit dir gesprochen?
Did Tom talk to you?	Hat Tom mit euch gesprochen?
Did Tom talk to you?	Hat Tom mit Ihnen gesprochen?
Did Tom tell anyone?	Hat Tom es jemandem gesagt?
Did Tom yell at you?	Hat Tom dich angeschrien?
Did Tom yell at you?	Hat Tom euch angeschrien?
Did Tom yell at you?	Hat Tom Sie angeschrien?
Did anybody see you?	Hat euch irgendwer gesehen?
Did anyone phone me?	Hat mich jemand angerufen?
Did anyone see that?	Hat das jemand gesehen?
Did anyone tell Tom?	Hat es jemand Tom gesagt?
Did everybody leave?	Sind alle gegangen?
Did they come today?	Sind sie heute gekommen?
Did they understand?	Haben sie es verstanden?
Did you ask Tom why?	Hast du Tom nach dem Grund gefragt?
Did you believe Tom?	Hat du Tom geglaubt?
Did you believe Tom?	Habt ihr Tom geglaubt?
Did you believe Tom?	Haben Sie Tom geglaubt?
Did you bring rolls?	Hast du Brötchen mitgebracht?
Did you bring rolls?	Haben Sie Brötchen mitgebracht?
Did you bring rolls?	Habt ihr Brötchen mitgebracht?
Did you bring yours?	Hast du deine mitgebracht?
Did you bring yours?	Hast du deins mitgebracht?
Did you bring yours?	Haben Sie Ihren mitgebracht?
Did you bring yours?	Hast du deinen mitgebracht?
Did you bring yours?	Haben Sie Ihres mitgebracht?
Did you bring yours?	Haben Sie Ihre mitgebracht?
Did you bring yours?	Habt ihr eure mitgebracht?
Did you bring yours?	Habt ihr eures mitgebracht?
Did you bring yours?	Habt ihr euren mitgebracht?
Did you buy bananas?	Hast du Bananen gekauft?
Did you buy bananas?	Habt ihr Bananen gekauft?
Did you buy bananas?	Haben Sie Bananen gekauft?
Did you buy flowers?	Habt ihr Blumen gekauft?
Did you come by car?	Sind Sie mit dem Auto gekommen?
Did you come by car?	Bist du mit dem Auto gekommen?
Did you come by car?	Seid ihr mit dem Auto gekommen?
Did you drink a lot?	Hast du viel getrunken?
Did you drink a lot?	Habt ihr viel getrunken?
Did you drink a lot?	Haben Sie viel getrunken?
Did you fall asleep?	Bist du eingeschlafen?
Did you fall asleep?	Seid ihr eingeschlafen?
Did you fall asleep?	Sind Sie eingeschlafen?
Did you get up late?	Bist du spät aufgestanden?
Did you get up late?	Sind Sie spät aufgestanden?
Did you hear it too?	Hast du das auch gehört?
Did you hear it too?	Haben Sie das auch gehört?
Did you hug anybody?	Hast du jemanden umarmt?
Did you hug anybody?	Hast du irgendjemanden gedrückt?
Did you just arrive?	Bist du gerade angekommen?
Did you just arrive?	Sind Sie gerade angekommen?
Did you just arrive?	Seid ihr gerade angekommen?
Did you leave a tip?	Hast du ein Trinkgeld dagelassen?
Did you like Boston?	Hat dir Boston gefallen?
Did you like Boston?	Hat Ihnen Boston gefallen?
Did you like Boston?	Hat euch Boston gefallen?
Did you like Boston?	Hat es dir in Boston gefallen?
Did you like Boston?	Hat es euch in Boston gefallen?
Did you like Boston?	Hat es Ihnen in Boston gefallen?
